Date,CPI,TB3MS,M1,M2,AUD_USD,CAD_USD,NZD_USD,ZAR_USD
2007-06-01,207.234,4.61,1368.2,7287.8,0.842347619047619,1.065104761904762,0.7570476190476191,7.151480952380952
2007-07-01,207.603,4.82,1371.8,7318.7,0.867652380952381,1.0501857142857143,0.7861523809523809,6.973014285714286
2007-08-01,207.667,4.2,1376.3,7394.8,0.8290782608695652,1.0578521739130435,0.7259173913043478,7.215347826086957
2007-09-01,208.547,3.89,1375.7,7413.0,0.8460850000000001,1.026745,0.718775,7.100745000000001
2007-10-01,209.19,3.9,1379.4,7428.1,0.8995652173913044,0.9754130434782609,0.7603,6.757434782608695
2007-11-01,210.834,3.27,1371.8,7453.6,0.8961238095238095,0.9672380952380953,0.7630714285714285,6.704852380952381
2007-12-01,211.445,3.0,1373.4,7483.9,0.871875,1.00207,0.76895,6.837625
2008-01-01,212.174,2.75,1377.7,7517.5,0.8823428571428571,1.0099428571428573,0.7739666666666667,6.9962
2008-02-01,212.687,2.12,1380.4,7604.0,0.913255,0.998555,0.796925,7.6578
2008-03-01,213.448,1.26,1388.7,7670.0,0.9221142857142857,1.0029428571428571,0.8003714285714286,7.992057142857143
2008-04-01,213.942,1.29,1391.4,7712.5,0.9309090909090909,1.0137181818181817,0.7896863636363637,7.758481818181818
2008-05-01,215.208,1.73,1393.4,7725.2,0.9492238095238095,0.9993047619047618,0.777704761904762,7.607566666666667
2008-06-01,217.463,1.86,1404.6,7743.9,0.9511190476190476,1.0166238095238096,0.7615714285714286,7.936728571428572
2008-07-01,219.016,1.63,1421.1,7791.2,0.9619727272727272,1.0129636363636363,0.7545636363636364,7.611427272727273
2008-08-01,218.69,1.72,1407.4,7805.8,0.8814761904761904,1.0534571428571429,0.7091238095238095,7.6651
2008-09-01,218.877,1.13,1462.0,7872.4,0.8168238095238096,1.0582047619047619,0.6738761904761905,8.075342857142857
2008-10-01,216.995,0.67,1473.8,7974.9,0.68695,1.1846954545454547,0.6076590909090909,9.780009090909092
2008-11-01,213.153,0.19,1514.6,8027.0,0.6590944444444444,1.2170944444444443,0.5663777777777779,10.111227777777778
2008-12-01,211.398,0.03,1601.7,8204.7,0.6719136363636363,1.2336954545454546,0.5596590909090909,9.922677272727272
2009-01-01,211.933,0.13,1582.8,8289.0,0.6754249999999999,1.22482,0.551025,9.90755
